0: validation loss: 10.9366
0: Hellaswag accuracy normalized: 0.2410
119: Loss 6.956231 | Grad Norm 0.7417 | LR 1.0070e-04 | Time 403.27ms | Tokens/s 1300086.35
120: Loss 6.908258 | Grad Norm 0.5941 | LR 1.0154e-04 | Time 402.81ms | Tokens/s 1301576.88
121: Loss 6.891601 | Grad Norm 0.4938 | LR 1.0238e-04 | Time 402.05ms | Tokens/s 1304044.49
122: Loss 6.886205 | Grad Norm 0.8324 | LR 1.0322e-04 | Time 402.64ms | Tokens/s 1302140.28
123: Loss 6.875248 | Grad Norm 1.0184 | LR 1.0406e-04 | Time 402.22ms | Tokens/s 1303495.66
124: Loss 6.890116 | Grad Norm 0.9835 | LR 1.0490e-04 | Time 402.44ms | Tokens/s 1302773.63
125: Loss 6.875837 | Grad Norm 0.8314 | LR 1.0573e-04 | Time 401.78ms | Tokens/s 1304911.94
126: Loss 6.869009 | Grad Norm 0.4464 | LR 1.0657e-04 | Time 403.70ms | Tokens/s 1298705.83
127: Loss 6.818945 | Grad Norm 0.7116 | LR 1.0741e-04 | Time 403.51ms | Tokens/s 1299332.00
128: Loss 6.792604 | Grad Norm 0.7509 | LR 1.0825e-04 | Time 403.13ms | Tokens/s 1300543.07
129: Loss 6.765454 | Grad Norm 0.6083 | LR 1.0909e-04 | Time 401.76ms | Tokens/s 1304980.86
130: Loss 6.834878 | Grad Norm 0.6700 | LR 1.0993e-04 | Time 401.69ms | Tokens/s 1305207.04
131: Loss 6.783336 | Grad Norm 0.4710 | LR 1.1077e-04 | Time 401.72ms | Tokens/s 1305112.53
132: Loss 6.788443 | Grad Norm 0.6231 | LR 1.1161e-04 | Time 403.66ms | Tokens/s 1298837.00
133: Loss 6.694714 | Grad Norm 0.6035 | LR 1.1245e-04 | Time 403.06ms | Tokens/s 1300773.09
134: Loss 6.692406 | Grad Norm 0.5571 | LR 1.1329e-04 | Time 402.65ms | Tokens/s 1302086.31
135: Loss 6.772525 | Grad Norm 0.5916 | LR 1.1413e-04 | Time 404.34ms | Tokens/s 1296641.30
136: Loss 6.738738 | Grad Norm 0.5043 | LR 1.1497e-04 | Time 403.24ms | Tokens/s 1300180.90
137: Loss 6.764840 | Grad Norm 0.5180 | LR 1.1580e-04 | Time 401.23ms | Tokens/s 1306698.47
138: Loss 6.689495 | Grad Norm 0.5465 | LR 1.1664e-04 | Time 402.69ms | Tokens/s 1301952.17
139: Loss 6.785698 | Grad Norm 0.7439 | LR 1.1748e-04 | Time 402.84ms | Tokens/s 1301486.75
140: Loss 6.894058 | Grad Norm 0.8574 | LR 1.1832e-04 | Time 405.11ms | Tokens/s 1294202.37
141: Loss 6.783153 | Grad Norm 1.0466 | LR 1.1916e-04 | Time 404.56ms | Tokens/s 1295955.09
142: Loss 6.841451 | Grad Norm 0.8093 | LR 1.2000e-04 | Time 401.43ms | Tokens/s 1306034.93
143: Loss 6.769835 | Grad Norm 0.7772 | LR 1.2084e-04 | Time 401.55ms | Tokens/s 1305676.67
144: Loss 6.775086 | Grad Norm 0.7938 | LR 1.2168e-04 | Time 403.06ms | Tokens/s 1300768.48
145: Loss 6.770452 | Grad Norm 0.4695 | LR 1.2252e-04 | Time 404.12ms | Tokens/s 1297359.62
146: Loss 6.773495 | Grad Norm 0.7966 | LR 1.2336e-04 | Time 402.77ms | Tokens/s 1301695.53
147: Loss 6.769740 | Grad Norm 0.5164 | LR 1.2420e-04 | Time 402.31ms | Tokens/s 1303200.57
148: Loss 6.761259 | Grad Norm 0.7592 | LR 1.2503e-04 | Time 403.96ms | Tokens/s 1297882.60
149: Loss 6.762348 | Grad Norm 0.7313 | LR 1.2587e-04 | Time 402.50ms | Tokens/s 1302586.10
150: Loss 6.747711 | Grad Norm 0.6463 | LR 1.2671e-04 | Time 403.10ms | Tokens/s 1300633.84
151: Loss 6.655039 | Grad Norm 0.5350 | LR 1.2755e-04 | Time 404.05ms | Tokens/s 1297595.41
152: Loss 6.681577 | Grad Norm 0.5503 | LR 1.2839e-04 | Time 403.23ms | Tokens/s 1300215.49
153: Loss 6.748050 | Grad Norm 0.5104 | LR 1.2923e-04 | Time 403.26ms | Tokens/s 1300130.16
154: Loss 6.652904 | Grad Norm 0.7243 | LR 1.3007e-04 | Time 402.45ms | Tokens/s 1302728.09
155: Loss 6.620096 | Grad Norm 0.9201 | LR 1.3091e-04 | Time 400.49ms | Tokens/s 1309102.93
156: Loss 6.693000 | Grad Norm 0.6632 | LR 1.3175e-04 | Time 401.95ms | Tokens/s 1304377.09
157: Loss 6.738983 | Grad Norm 0.6261 | LR 1.3259e-04 | Time 403.17ms | Tokens/s 1300423.86
158: Loss 6.720651 | Grad Norm 0.6271 | LR 1.3343e-04 | Time 404.65ms | Tokens/s 1295654.25
159: Loss 6.637837 | Grad Norm 0.5717 | LR 1.3427e-04 | Time 402.50ms | Tokens/s 1302572.22
160: Loss 6.586199 | Grad Norm 0.4783 | LR 1.3510e-04 | Time 400.66ms | Tokens/s 1308552.96
161: Loss 6.667819 | Grad Norm 0.5406 | LR 1.3594e-04 | Time 402.68ms | Tokens/s 1301996.11
162: Loss 6.561469 | Grad Norm 0.5500 | LR 1.3678e-04 | Time 401.64ms | Tokens/s 1305363.54
163: Loss 6.517181 | Grad Norm 0.5503 | LR 1.3762e-04 | Time 403.81ms | Tokens/s 1298357.71
164: Loss 6.557028 | Grad Norm 0.4368 | LR 1.3846e-04 | Time 403.96ms | Tokens/s 1297867.28
165: Loss 6.585893 | Grad Norm 0.6061 | LR 1.3930e-04 | Time 403.66ms | Tokens/s 1298824.72
166: Loss 6.440382 | Grad Norm 0.6574 | LR 1.4014e-04 | Time 403.78ms | Tokens/s 1298438.97
167: Loss 6.545962 | Grad Norm 0.8636 | LR 1.4098e-04 | Time 404.04ms | Tokens/s 1297615.31
168: Loss 6.513460 | Grad Norm 0.8073 | LR 1.4182e-04 | Time 405.11ms | Tokens/s 1294184.09
169: Loss 6.546322 | Grad Norm 0.6350 | LR 1.4266e-04 | Time 404.42ms | Tokens/s 1296388.28
170: Loss 6.521329 | Grad Norm 0.9965 | LR 1.4350e-04 | Time 403.31ms | Tokens/s 1299956.46
171: Loss 6.542342 | Grad Norm 0.9841 | LR 1.4434e-04 | Time 403.94ms | Tokens/s 1297922.43
172: Loss 6.525741 | Grad Norm 0.5943 | LR 1.4517e-04 | Time 405.27ms | Tokens/s 1293667.89
173: Loss 6.472875 | Grad Norm 0.6221 | LR 1.4601e-04 | Time 402.81ms | Tokens/s 1301588.44
174: Loss 6.445127 | Grad Norm 0.4548 | LR 1.4685e-04 | Time 403.98ms | Tokens/s 1297822.85
175: Loss 6.526266 | Grad Norm 0.5544 | LR 1.4769e-04 | Time 405.15ms | Tokens/s 1294043.96
176: Loss 6.442469 | Grad Norm 0.4873 | LR 1.4853e-04 | Time 403.23ms | Tokens/s 1300221.64
177: Loss 6.486877 | Grad Norm 0.4800 | LR 1.4937e-04 | Time 402.96ms | Tokens/s 1301105.58
178: Loss 6.422609 | Grad Norm 0.6375 | LR 1.5021e-04 | Time 403.97ms | Tokens/s 1297832.81
179: Loss 6.401718 | Grad Norm 0.5135 | LR 1.5105e-04 | Time 403.55ms | Tokens/s 1299196.12
180: Loss 6.392632 | Grad Norm 0.4314 | LR 1.5189e-04 | Time 404.16ms | Tokens/s 1297235.63
181: Loss 6.433040 | Grad Norm 0.4927 | LR 1.5273e-04 | Time 402.45ms | Tokens/s 1302729.63
182: Loss 6.417621 | Grad Norm 0.5026 | LR 1.5357e-04 | Time 402.79ms | Tokens/s 1301637.75
183: Loss 6.412232 | Grad Norm 0.5109 | LR 1.5441e-04 | Time 403.65ms | Tokens/s 1298863.08
184: Loss 6.433919 | Grad Norm 0.7007 | LR 1.5524e-04 | Time 404.30ms | Tokens/s 1296765.17
185: Loss 6.489289 | Grad Norm 0.8511 | LR 1.5608e-04 | Time 401.36ms | Tokens/s 1306289.40
186: Loss 6.512381 | Grad Norm 0.9255 | LR 1.5692e-04 | Time 402.84ms | Tokens/s 1301478.28
187: Loss 6.582079 | Grad Norm 0.8834 | LR 1.5776e-04 | Time 403.96ms | Tokens/s 1297868.81
188: Loss 6.533183 | Grad Norm 0.9980 | LR 1.5860e-04 | Time 404.45ms | Tokens/s 1296297.34
189: Loss 6.496477 | Grad Norm 0.9311 | LR 1.5944e-04 | Time 807.85ms | Tokens/s 648994.93
190: Loss 6.517509 | Grad Norm 0.5023 | LR 1.6028e-04 | Time 942.32ms | Tokens/s 556377.26
191: Loss 6.515037 | Grad Norm 0.8265 | LR 1.6112e-04 | Time 401.94ms | Tokens/s 1304407.27
192: Loss 6.478175 | Grad Norm 0.5606 | LR 1.6196e-04 | Time 404.83ms | Tokens/s 1295078.90
193: Loss 6.497425 | Grad Norm 0.5877 | LR 1.6280e-04 | Time 404.90ms | Tokens/s 1294856.99
194: Loss 6.443437 | Grad Norm 0.5469 | LR 1.6364e-04 | Time 404.81ms | Tokens/s 1295143.74
195: Loss 6.431736 | Grad Norm 0.4515 | LR 1.6448e-04 | Time 402.33ms | Tokens/s 1303117.94
196: Loss 6.418818 | Grad Norm 0.5030 | LR 1.6531e-04 | Time 404.45ms | Tokens/s 1296297.34
197: Loss 6.496591 | Grad Norm 0.3914 | LR 1.6615e-04 | Time 402.04ms | Tokens/s 1304057.63
198: Loss 6.414335 | Grad Norm 0.4741 | LR 1.6699e-04 | Time 402.37ms | Tokens/s 1302984.36
199: Loss 6.442039 | Grad Norm 0.4319 | LR 1.6783e-04 | Time 402.74ms | Tokens/s 1301794.17
200: Loss 6.399369 | Grad Norm 0.4262 | LR 1.6867e-04 | Time 401.66ms | Tokens/s 1305310.08
201: Loss 6.418223 | Grad Norm 0.4264 | LR 1.6951e-04 | Time 403.49ms | Tokens/s 1299389.58
202: Loss 6.414832 | Grad Norm 0.4663 | LR 1.7035e-04 | Time 404.35ms | Tokens/s 1296632.13
203: Loss 6.406964 | Grad Norm 0.4281 | LR 1.7119e-04 | Time 404.02ms | Tokens/s 1297683.47
204: Loss 6.447099 | Grad Norm 0.5112 | LR 1.7203e-04 | Time 403.64ms | Tokens/s 1298902.98
205: Loss 6.446283 | Grad Norm 0.4790 | LR 1.7287e-04 | Time 403.08ms | Tokens/s 1300720.01
206: Loss 6.420017 | Grad Norm 0.5124 | LR 1.7371e-04 | Time 402.75ms | Tokens/s 1301775.67
207: Loss 6.403749 | Grad Norm 0.4510 | LR 1.7455e-04 | Time 406.78ms | Tokens/s 1288880.38
208: Loss 6.326638 | Grad Norm 0.5819 | LR 1.7538e-04 | Time 404.68ms | Tokens/s 1295552.72
209: Loss 6.299874 | Grad Norm 0.4353 | LR 1.7622e-04 | Time 403.32ms | Tokens/s 1299921.88
210: Loss 6.340594 | Grad Norm 0.4547 | LR 1.7706e-04 | Time 402.99ms | Tokens/s 1300983.18
211: Loss 6.364924 | Grad Norm 0.4972 | LR 1.7790e-04 | Time 402.18ms | Tokens/s 1303630.12
212: Loss 6.422410 | Grad Norm 0.5288 | LR 1.7874e-04 | Time 404.16ms | Tokens/s 1297238.70
213: Loss 6.380825 | Grad Norm 0.5921 | LR 1.7958e-04 | Time 403.10ms | Tokens/s 1300636.15
214: Loss 6.390479 | Grad Norm 0.4908 | LR 1.8042e-04 | Time 403.78ms | Tokens/s 1298441.27
215: Loss 6.342321 | Grad Norm 0.6319 | LR 1.8126e-04 | Time 403.66ms | Tokens/s 1298835.46
216: Loss 6.310246 | Grad Norm 0.6362 | LR 1.8210e-04 | Time 403.34ms | Tokens/s 1299850.42
217: Loss 6.328353 | Grad Norm 0.7161 | LR 1.8294e-04 | Time 404.71ms | Tokens/s 1295450.45
218: Loss 6.311582 | Grad Norm 0.7230 | LR 1.8378e-04 | Time 403.88ms | Tokens/s 1298135.44
219: Loss 6.310894 | Grad Norm 0.6942 | LR 1.8462e-04 | Time 404.11ms | Tokens/s 1297375.69
220: Loss 6.248466 | Grad Norm 0.8107 | LR 1.8545e-04 | Time 402.05ms | Tokens/s 1304045.26
221: Loss 6.285691 | Grad Norm 0.4793 | LR 1.8629e-04 | Time 402.88ms | Tokens/s 1301365.06
222: Loss 6.267293 | Grad Norm 0.4668 | LR 1.8713e-04 | Time 402.63ms | Tokens/s 1302151.08
223: Loss 6.212527 | Grad Norm 0.4785 | LR 1.8797e-04 | Time 403.81ms | Tokens/s 1298343.14
224: Loss 6.239336 | Grad Norm 0.5258 | LR 1.8881e-04 | Time 403.58ms | Tokens/s 1299078.70
225: Loss 6.206447 | Grad Norm 0.5318 | LR 1.8965e-04 | Time 402.96ms | Tokens/s 1301076.32
226: Loss 6.199279 | Grad Norm 0.5668 | LR 1.9049e-04 | Time 401.57ms | Tokens/s 1305590.62
227: Loss 6.305467 | Grad Norm 0.5728 | LR 1.9133e-04 | Time 402.26ms | Tokens/s 1303363.55
228: Loss 6.232140 | Grad Norm 0.5419 | LR 1.9217e-04 | Time 406.39ms | Tokens/s 1290123.51
229: Loss 6.239470 | Grad Norm 0.6666 | LR 1.9301e-04 | Time 403.67ms | Tokens/s 1298804.78
230: Loss 6.213798 | Grad Norm 1.0041 | LR 1.9385e-04 | Time 403.71ms | Tokens/s 1298660.58
231: Loss 6.254022 | Grad Norm 0.7285 | LR 1.9469e-04 | Time 404.02ms | Tokens/s 1297691.89
232: Loss 6.412616 | Grad Norm 0.5995 | LR 1.9552e-04 | Time 406.17ms | Tokens/s 1290799.76
233: Loss 6.358766 | Grad Norm 0.8279 | LR 1.9636e-04 | Time 405.85ms | Tokens/s 1291824.21
234: Loss 6.390365 | Grad Norm 0.7070 | LR 1.9720e-04 | Time 404.21ms | Tokens/s 1297064.24
